sku,nombre,descripcion,marca,categoria,subcategoria,precio,stock,stock_minimo,peso,dimensiones,imagen,caracteristicas,aplicaciones,accesorios,productos_relacionados
Zelio-Logic-SR2,Relé Zelio Logic SR2,Relé inteligente para automatización simple,Schneider Electric,Control,Relés,180.00,120,25,0.30,90 x 35 x 60 mm,https://example.com/zelio-sr2.jpg,"8 entradas digitales y 4 salidas;Programación mediante software ZelioSoft;Comunicación Modbus RTU;Protección IP20;Temperatura de operación: -10°C a +55°C","Automatización de máquinas simples;Control de sistemas de iluminación;Sistemas de riego automático;Control de puertas y compuertas;Automatización de procesos básicos",,
Altivar-ATV320,Variador Altivar ATV320,Variador de frecuencia para motores monofásicos,Schneider Electric,Control,Variadores,420.00,85,20,1.80,150 x 120 x 100 mm,https://example.com/atv320.jpg,"Potencia de 0.18 kW a 2.2 kW;Control escalar optimizado;Interfaz Modbus RTU;Protección IP20;Temperatura de operación: -10°C a +50°C","Control de velocidad de motores monofásicos;Sistemas de ventilación residencial;Control de bombas de agua;Automatización de equipos comerciales;Sistemas de transporte ligero",,
Modicon-M221,PLC Modicon M221,Controlador lógico programable compacto para automatización,Schneider Electric,Automatización,PLC,680.00,95,25,0.60,110 x 90 x 70 mm,https://example.com/m221.jpg,"Procesador de 32 bits con memoria flash de 64 KB;Comunicación Modbus RTU y Ethernet;Hasta 4 módulos de expansión;Temperatura de operación: -20°C a +60°C;Certificación UL;CE;CSA","Control de máquinas pequeñas;Automatización de procesos simples;Sistemas de control de temperatura;Monitoreo de equipos básicos;Integración con sistemas de supervisión",,
Magelis-XBT-GT,Panel Magelis XBT GT,Panel gráfico táctil para operación HMI,Schneider Electric,Automatización,HMI,950.00,65,15,1.20,160 x 120 x 35 mm,https://example.com/xbt-gt.jpg,"Pantalla táctil resistiva de 5.7 pulgadas;Resolución de 640x480 píxeles;Interfaz Modbus RTU y Ethernet;Protección IP65 para uso industrial;Software Vijeo Designer","Interfaz de operador para equipos industriales;Visualización de datos de proceso;Control de parámetros de máquina;Sistema de alarmas y eventos;Registro de datos operativos",,
Altivar-ATV630,Variador Altivar ATV630,Variador de frecuencia para motores trifásicos de media tensión,Schneider Electric,Control,Variadores,2800.00,25,8,8.50,300 x 250 x 200 mm,https://example.com/atv630.jpg,"Potencia de 7.5 kW a 75 kW;Control vectorial avanzado;Interfaz Modbus RTU y Ethernet;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de motores de media potencia;Sistemas de ventilación industrial;Control de compresores y bombas;Automatización de procesos de fabricación;Sistemas de transporte pesado",,
Modicon-M251,PLC Modicon M251,Controlador lógico programable de rendimiento medio,Schneider Electric,Automatización,PLC,1200.00,55,15,0.80,120 x 100 x 75 mm,https://example.com/m251.jpg,"Procesador de 32 bits con memoria flash de 128 KB;Comunicación Modbus RTU y Ethernet;Hasta 8 módulos de expansión;Temperatura de operación: -20°C a +60°C;Certificación UL;CE;CSA","Control de procesos industriales;Automatización de máquinas herramienta;Sistemas de control de calidad;Monitoreo de líneas de producción;Integración con sistemas de supervisión",,
Magelis-XBT-RT,Panel Magelis XBT RT,Panel de operador táctil resistivo,Schneider Electric,Automatización,HMI,680.00,75,20,0.90,140 x 100 x 30 mm,https://example.com/xbt-rt.jpg,"Pantalla táctil resistiva de 4.3 pulgadas;Resolución de 480x272 píxeles;Interfaz Modbus RTU;Protección IP65 para uso industrial;Software Vijeo Designer Lite","Interfaz de operador para equipos básicos;Visualización de datos simples;Control de parámetros fundamentales;Sistema de alarmas básico;Registro de eventos simples",,
Altivar-ATV930,Variador Altivar ATV930,Variador de frecuencia para aplicaciones de alta precisión,Schneider Electric,Control,Variadores,1850.00,35,10,3.20,200 x 180 x 150 mm,https://example.com/atv930.jpg,"Potencia de 0.75 kW a 15 kW;Control vectorial de alta precisión;Interfaz Modbus RTU y Ethernet;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de precisión en máquinas herramienta;Sistemas de posicionamiento;Control de robots industriales;Automatización de procesos críticos;Sistemas de control de calidad",,
Modicon-M580,PLC Modicon M580,Controlador lógico programable de alta gama,Schneider Electric,Automatización,PLC,3200.00,28,8,1.50,160 x 130 x 90 mm,https://example.com/m580.jpg,"Procesador de 64 bits con memoria flash de 512 KB;Comunicación Modbus RTU;Ethernet y Profinet;Hasta 16 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA","Control de procesos industriales complejos;Automatización de líneas de producción;Sistemas de control distribuido;Monitoreo y control de equipos críticos;Integración con sistemas MES y ERP",,
Magelis-XBT-GK,Panel Magelis XBT GK,Panel gráfico táctil de alta resolución,Schneider Electric,Automatización,HMI,1850.00,42,12,1.80,200 x 150 x 45 mm,https://example.com/xbt-gk.jpg,"Pantalla táctil capacitiva de 10.4 pulgadas;Resolución de 1024x768 píxeles;Interfaz Modbus RTU y Ethernet;Protección IP65 para uso industrial;Software Vijeo Designer Advanced","Interfaz de operador para sistemas complejos;Visualización de múltiples procesos;Control de parámetros avanzados;Sistema de alarmas jerárquico;Registro y análisis de tendencias",,
AC500-PLC,PLC AC500,Controlador lógico programable modular de alta gama,ABB,Automatización,PLC,2800.00,32,10,1.80,180 x 140 x 95 mm,https://example.com/ac500.jpg,"Procesador de 64 bits con memoria flash de 256 KB;Comunicación Profinet;Profibus y Modbus;Hasta 24 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA","Control de procesos industriales complejos;Automatización de líneas de producción;Sistemas de control distribuido;Monitoreo y control de equipos críticos;Integración con sistemas de supervisión avanzados",,
ACS880-Inverter,Variador ACS880,Variador de frecuencia para aplicaciones industriales,ABB,Control,Variadores,1650.00,48,15,4.50,250 x 200 x 180 mm,https://example.com/acs880.jpg,"Potencia de 0.75 kW a 37 kW;Control vectorial DTC;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de motores industriales;Sistemas de ventilación y aire acondicionado;Control de bombas y compresores;Automatización de procesos de fabricación;Sistemas de transporte industrial",,
CP600-HMI,Panel CP600,Panel de operador táctil para aplicaciones industriales,ABB,Automatización,HMI,1200.00,58,18,1.20,160 x 120 x 40 mm,https://example.com/cp600.jpg,"Pantalla táctil resistiva de 6.5 pulgadas;Resolución de 640x480 píxeles;Interfaz Profinet y Modbus RTU;Protección IP65 para uso industrial;Software Panel Builder 600","Interfaz de operador para equipos industriales;Visualización de datos de proceso;Control de parámetros de máquina;Sistema de alarmas y eventos;Registro de datos operativos",,
AC500-eCo,PLC AC500-eCo,Controlador lógico programable económico,ABB,Automatización,PLC,950.00,72,20,0.90,120 x 100 x 70 mm,https://example.com/ac500-eco.jpg,"Procesador de 32 bits con memoria flash de 128 KB;Comunicación Modbus RTU y Ethernet;Hasta 8 módulos de expansión;Temperatura de operación: -20°C a +60°C;Certificación UL;CE;CSA","Control de máquinas pequeñas;Automatización de procesos simples;Sistemas de control de temperatura;Monitoreo de equipos básicos;Integración con sistemas de supervisión",,
ACS355-Inverter,Variador ACS355,Variador de frecuencia compacto para aplicaciones básicas,ABB,Control,Variadores,680.00,85,25,2.80,180 x 150 x 120 mm,https://example.com/acs355.jpg,"Potencia de 0.37 kW a 7.5 kW;Control escalar optimizado;Interfaz Modbus RTU;Protección IP20;Temperatura de operación: -10°C a +50°C","Control de velocidad de motores pequeños;Sistemas de ventilación básica;Control de bombas de agua;Automatización de equipos comerciales;Sistemas de transporte ligero",,
CP400-HMI,Panel CP400,Panel de operador táctil compacto,ABB,Automatización,HMI,850.00,65,18,0.80,120 x 90 x 30 mm,https://example.com/cp400.jpg,"Pantalla táctil resistiva de 4.3 pulgadas;Resolución de 480x272 píxeles;Interfaz Modbus RTU;Protección IP65 para uso industrial;Software Panel Builder 400","Interfaz de operador para equipos básicos;Visualización de datos simples;Control de parámetros fundamentales;Sistema de alarmas básico;Registro de eventos simples",,
AC500-XC,PLC AC500-XC,Controlador lógico programable de control de movimiento,ABB,Automatización,PLC,4200.00,18,5,2.20,200 x 160 x 100 mm,https://example.com/ac500-xc.jpg,"Procesador de 64 bits con memoria flash de 512 KB;Control de movimiento integrado;Comunicación Profinet y EtherCAT;Hasta 32 módulos de expansión;Temperatura de operación: -25°C a +70°C","Control de movimiento en máquinas herramienta;Sistemas de posicionamiento de alta precisión;Control de robots industriales;Automatización de procesos críticos;Sistemas de control de calidad avanzados",,
ACS880-MultiDrive,Variador ACS880 Multi-Drive,Variador de frecuencia para múltiples motores,ABB,Control,Variadores,3500.00,22,8,12.50,400 x 300 x 250 mm,https://example.com/acs880-multi.jpg,"Potencia de 5.5 kW a 75 kW;Control de hasta 6 motores;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de múltiples motores en sincronización;Sistemas de transporte complejos;Control de líneas de producción;Automatización de procesos de fabricación;Sistemas de control de calidad",,
CP600-T,Panel CP600 T,Panel de operador táctil de alta resolución,ABB,Automatización,HMI,2200.00,35,10,1.80,200 x 150 x 45 mm,https://example.com/cp600-t.jpg,"Pantalla táctil capacitiva de 10.4 pulgadas;Resolución de 1024x768 píxeles;Interfaz Profinet y Modbus RTU;Protección IP65 para uso industrial;Software Panel Builder 600 Advanced","Interfaz de operador para sistemas complejos;Visualización de múltiples procesos;Control de parámetros avanzados;Sistema de alarmas jerárquico;Registro y análisis de tendencias",,
AC500-Safety,PLC AC500 Safety,Controlador lógico programable con funciones de seguridad,ABB,Automatización,PLC,5800.00,12,3,2.50,220 x 180 x 110 mm,https://example.com/ac500-safety.jpg,"Procesador de 64 bits con funciones de seguridad integradas;Comunicación Profinet Safety y Profibus;Hasta 24 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA;SIL3","Sistemas de seguridad funcional en petróleo y gas;Control de seguridad en centrales eléctricas;Sistemas de seguridad en plantas químicas;Control de seguridad en sistemas de transporte;Sistemas de seguridad en procesos críticos",,
ACS880-SingleDrive,Variador ACS880 Single Drive,Variador de frecuencia para aplicaciones de alta precisión,ABB,Control,Variadores,2200.00,28,8,5.20,280 x 220 x 180 mm,https://example.com/acs880-single.jpg,"Potencia de 1.5 kW a 22 kW;Control vectorial DTC de alta precisión;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de precisión en máquinas herramienta;Sistemas de posicionamiento de alta precisión;Control de robots industriales;Automatización de procesos críticos;Sistemas de control de calidad avanzados",,
CP600-Advanced,Panel CP600 Advanced,Panel de operador táctil avanzado,ABB,Automatización,HMI,2800.00,25,8,2.20,240 x 180 x 55 mm,https://example.com/cp600-advanced.jpg,"Pantalla táctil capacitiva de 12.1 pulgadas;Resolución de 1280x800 píxeles;Interfaz Profinet;Modbus RTU y USB;Protección IP65 para uso industrial;Software Panel Builder 600 Professional","Interfaz de operador para sistemas muy complejos;Visualización de múltiples procesos en tiempo real;Control de parámetros avanzados y críticos;Sistema de alarmas jerárquico y inteligente;Registro y análisis de tendencias avanzado",,
AC500-CC,PLC AC500-CC,Controlador lógico programable de control continuo,ABB,Automatización,PLC,3800.00,20,6,2.00,200 x 160 x 95 mm,https://example.com/ac500-cc.jpg,"Procesador de 64 bits con control continuo integrado;Comunicación Profinet y Modbus RTU;Hasta 20 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA","Control de procesos continuos en petróleo y gas;Sistemas de control de temperatura y presión;Control de flujo en plantas químicas;Automatización de procesos de refinación;Sistemas de control de calidad en procesos continuos",,
ACS880-07,Variador ACS880-07,Variador de frecuencia para aplicaciones de media tensión,ABB,Control,Variadores,8500.00,8,3,25.00,500 x 400 x 300 mm,https://example.com/acs880-07.jpg,"Potencia de 75 kW a 500 kW;Control vectorial DTC para media tensión;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de motores de alta potencia;Sistemas de ventilación industrial de gran escala;Control de compresores de alta potencia;Automatización de procesos de fabricación pesada;Sistemas de transporte de alta capacidad",,
CP600-Professional,Panel CP600 Professional,Panel de operador táctil profesional,ABB,Automatización,HMI,3500.00,18,5,2.80,260 x 200 x 65 mm,https://example.com/cp600-professional.jpg,"Pantalla táctil capacitiva de 15 pulgadas;Resolución de 1366x768 píxeles;Interfaz Profinet;Modbus RTU y Ethernet;Protección IP65 para uso industrial;Software Panel Builder 600 Enterprise","Interfaz de operador para sistemas empresariales;Visualización de múltiples plantas y procesos;Control de parámetros críticos y estratégicos;Sistema de alarmas empresarial y jerárquico;Registro y análisis de tendencias empresariales",,
AC500-OC,PLC AC500-OC,Controlador lógico programable de control de objetos,ABB,Automatización,PLC,3200.00,25,8,1.80,180 x 140 x 90 mm,https://example.com/ac500-oc.jpg,"Procesador de 64 bits con control de objetos integrado;Comunicación Profinet y Modbus RTU;Hasta 16 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA","Control de objetos en sistemas de transporte;Automatización de almacenes inteligentes;Control de sistemas de clasificación;Automatización de procesos de empaquetado;Sistemas de control de inventario automatizado",,
ACS880-17,Variador ACS880-17,Variador de frecuencia para aplicaciones de baja tensión,ABB,Control,Variadores,1800.00,35,10,4.80,240 x 200 x 160 mm,https://example.com/acs880-17.jpg,"Potencia de 1.5 kW a 30 kW;Control vectorial DTC para baja tensión;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de motores de baja tensión;Sistemas de ventilación comercial;Control de bombas de agua industriales;Automatización de procesos de fabricación;Sistemas de transporte comercial",,
CP600-Enterprise,Panel CP600 Enterprise,Panel de operador táctil empresarial,ABB,Automatización,HMI,4200.00,15,5,3.20,280 x 220 x 75 mm,https://example.com/cp600-enterprise.jpg,"Pantalla táctil capacitiva de 17 pulgadas;Resolución de 1600x900 píxeles;Interfaz Profinet;Modbus RTU y Ethernet;Protección IP65 para uso industrial;Software Panel Builder 600 Enterprise Plus","Interfaz de operador para sistemas empresariales complejos;Visualización de múltiples plantas y procesos críticos;Control de parámetros estratégicos y críticos;Sistema de alarmas empresarial avanzado;Registro y análisis de tendencias empresariales avanzado",,
AC500-TC,PLC AC500-TC,Controlador lógico programable de control de temperatura,ABB,Automatización,PLC,2800.00,30,10,1.60,160 x 130 x 85 mm,https://example.com/ac500-tc.jpg,"Procesador de 64 bits con control de temperatura integrado;Comunicación Profinet y Modbus RTU;Hasta 12 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA","Control de temperatura en hornos industriales;Sistemas de control de temperatura en procesos químicos;Control de temperatura en sistemas de secado;Automatización de procesos térmicos;Sistemas de control de calidad térmica",,
ACS880-31,Variador ACS880-31,Variador de frecuencia para aplicaciones de alta precisión,ABB,Control,Variadores,2800.00,22,8,6.50,280 x 240 x 200 mm,https://example.com/acs880-31.jpg,"Potencia de 2.2 kW a 45 kW;Control vectorial DTC de alta precisión;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C","Control de precisión en máquinas herramienta;Sistemas de posicionamiento de alta precisión;Control de robots industriales;Automatización de procesos críticos;Sistemas de control de calidad avanzados",,
CP600-Ultimate,Panel CP600 Ultimate,Panel de operador táctil definitivo,ABB,Automatización,HMI,5800.00,12,3,4.00,320 x 250 x 85 mm,https://example.com/cp600-ultimate.jpg,"Pantalla táctil capacitiva de 21.5 pulgadas;Resolución de 1920x1080 píxeles;Interfaz Profinet;Modbus RTU y Ethernet;Protección IP65 para uso industrial;Software Panel Builder 600 Ultimate","Interfaz de operador para sistemas definitivos;Visualización de múltiples plantas y procesos críticos;Control de parámetros estratégicos y críticos;Sistema de alarmas definitivo y jerárquico;Registro y análisis de tendencias definitivo",,
AC500-MC,PLC AC500-MC,Controlador lógico programable de control de movimiento,ABB,Automatización,,520.00,15,5,2.80,220 x 180 x 110 mm,https://mall.industry.siemens.com/mall/collaterals/files/184/jpg/P_ST70_XX_09129i.jpg,"Procesador de 64 bits con control de movimiento integrado;Comunicación Profinet y EtherCAT;Hasta 32 módulos de expansión;Temperatura de operación: -25°C a +70°C;Certificación UL;CE;CSA","Control de movimiento en máquinas herramienta;Sistemas de posicionamiento de alta precisión;Control de robots industriales;Automatización de procesos críticos;Sistemas de control de calidad avanzados",,
ACS880-61,Variador ACS880-61,Variador de frecuencia para aplicaciones de alta potencia,ABB,Control,,4500.00,18,6,15.00,400 x 350 x 280 mm,https://example.com/acs880-61.jpg,"Control vectorial DTC para alta potencia;Interfaz Profinet y Modbus RTU;Protección IP20/IP21;Temperatura de operación: -10°C a +50°C;Potencia de 45 kW a 200 KW","Control de motores de alta potencia;Sistemas de ventilación industrial de gran escala;Control de compresores de alta potencia;Automatización de procesos de fabricación pesada;Sistemas de transporte de alta capacidad",CP600-Master,
CP600-Master,Panel CP600 Master,Panel de operador táctil maestro,ABB,Automatización,HMI,7200.00,8,2,5.50,360 x 280 x 95 mm,https://example.com/cp600-master.jpg,"Pantalla táctil capacitiva de 24 pulgadas;Resolución de 1920x1200 píxeles;Interfaz Profinet;Modbus RTU y Ethernet;Protección IP65 para uso industrial;Software Panel Builder 600 Master","Interfaz de operador para sistemas maestros;Visualización de múltiples plantas y procesos críticos;Control de parámetros estratégicos y críticos;Sistema de alarmas maestro y jerárquico;Registro y análisis de tendencias maestro","ABB-1SBL123001R1000;ACS880-17",
SIEMENS-3RT1015-1BB41,Contacto auxiliar 3RT1015-1BB41,Contacto auxiliar normalmente abierto para contactores Siemens,Siemens,Contactores,Contactos auxiliares,25.50,100,10,0.50,50x30x20,https://example.com/siemens-contact.jpg,"Contacto NO;Tensión 24V DC;Corriente 10A;Temperatura -25°C a +70°C","Control de iluminación;Sistemas de seguridad;Automatización industrial",,
ABB-1SBL123001R1000,Interruptor automático ABB 1SBL123001R1000,Interruptor automático de 1000A para distribución,ABB,Interruptores,Interruptores automáticos,1250.00,25,5,15.20,200x150x100,https://example.com/abb-breaker.jpg,"Corriente nominal 1000A;Tensión 690V;Poder de corte 50kA;Protección térmica y magnética","Distribución eléctrica;Centros de transformación;Subestaciones eléctricas",,
SCHNEIDER-EZC100F,Interruptor diferencial EZC100F,Interruptor diferencial de alta sensibilidad para protección personal,Schneider,Protección,,45.80,75,8,0.80,80x40x30,https://example.com/schneider-diff.jpg,"Sensibilidad 30mA;Tensión 230V;Corriente 63A;Tiempo de desconexión <40ms","Instalaciones residenciales;Oficinas comerciales;Locales públicos","PHOENIX-CONTACT-QUINT-PS;SIEMENS-3RT1015-1BB41;ABB-1SBL123001R1000","ACS880-61:tamaño;AC500-MC:tamaño;SIEMENS-3RT1015-1BB41:tamaño;CP600-Master:tamaño;ABB-1SBL123001R1000:tamaño;PHOENIX-CONTACT-QUINT-PS:tamaño"
PHOENIX-CONTACT-QUINT-PS,Fuente de alimentación QUINT-PS,Fuente de alimentación conmutada para aplicaciones industriales,Phoenix Contact,Fuentes de Alimentación,Fuentes industriales,89.90,120,15,1.20,120x60x40,https://example.com/phoenix-ps.jpg,"Potencia 24W;Tensión de entrada 85-264V AC;Tensión de salida 24V DC;Eficiencia 94%","Automatización industrial;Sistemas de control;Equipos de medición",,
